time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,radius_km
120000,SAT_01,STARLINK-31405,SAT,-2205731.41,5334646.26,3699821.3,484.67,-1,10.0.3.1,6856.557403269242
120000,SAT_02,STARLINK-31055,SAT,-1811321.94,5964015.81,2841761.76,475.81,-1,10.0.3.2,6850.25413053075
120000,SAT_03,STARLINK-11276 [DTC],SAT,-2462498.4,5687872.55,2635044.94,360.08,-1,10.0.3.3,6734.927939545134
120000,SAT_04,STARLINK-11707 [DTC],SAT,-2315835.23,5396688.46,3286068.48,356.44,-1,10.0.3.4,6729.45653095819
120000,SAT_05,STARLINK-35901,SAT,-2520843.6,5603404.28,2959579.63,445.87,-1,10.0.3.5,6819.963604528562
120000,SAT_06,STARLINK-5790,SAT,-2094881.68,5929099.0,2921571.64,559.53,-1,10.0.3.6,6933.853549985961
120000,SAT_07,STARLINK-3086,SAT,-1642320.47,5241465.98,4255116.93,578.01,-1,10.0.3.7,6948.107816783719
120000,SAT_08,STARLINK-5564,SAT,-2082438.64,5275555.42,3987450.09,562.05,-1,10.0.3.8,6933.094107186013
120000,SAT_09,STARLINK-32545,SAT,-1716109.53,5443113.74,3799392.6,484.68,-1,10.0.3.9,6856.230978786258
120000,SAT_10,STARLINK-34752,SAT,-2352852.67,5997710.24,2331470.98,475.93,-1,10.0.3.10,6851.583812543575
120000,SAT_11,STARLINK-32596,SAT,-2224723.33,4892409.45,4244101.17,478.27,-1,10.0.3.11,6848.171935830099
120000,SAT_12,STARLINK-11641 [DTC],SAT,-1651140.6,5088372.04,4087878.28,362.42,-1,10.0.3.12,6732.647631542726
120000,SAT_13,STARLINK-5118,SAT,-2343637.36,5063992.73,4080064.01,541.9,-1,10.0.3.13,6912.566872759923
120000,SAT_14,STARLINK-31758,SAT,-2633238.99,5811407.73,2515635.82,482.95,-1,10.0.3.14,6858.194438890389
120000,SAT_15,STARLINK-35678,SAT,-1647019.1,6111633.78,2535844.7,443.57,-1,10.0.3.15,6818.7423854490935
120000,SAT_16,STARLINK-6047,SAT,-2169238.07,5821181.44,3115703.61,575.95,-1,10.0.3.16,6949.773819852328
120000,SAT_17,STARLINK-4153,SAT,-1780738.85,5773359.25,3361616.41,540.92,-1,10.0.3.17,6913.983856608372
120000,SAT_18,STARLINK-35760,SAT,-1402236.21,5613638.67,3665001.45,477.2,-1,10.0.3.18,6849.192735969446
120000,SAT_19,STARLINK-3130,SAT,-2355607.17,5439934.73,3557097.31,540.92,-1,10.0.3.19,6913.372279779589
120000,SAT_20,STARLINK-3725,SAT,-1467169.57,5964598.39,3174552.54,540.63,-1,10.0.3.20,6914.246475961428
120000,SAT_21,STARLINK-35776,SAT,-2194821.49,4757470.85,4409158.78,478.49,-1,10.0.3.21,6847.733304445832
120000,SAT_22,STARLINK-30951,SAT,-2713922.61,5851908.57,2543940.35,558.86,-1,10.0.3.22,6934.107177500705
120000,SAT_23,STARLINK-31965,SAT,-2009718.78,4912930.35,4340771.94,487.43,-1,10.0.3.23,6856.978579062878
120000,SAT_24,STARLINK-32673,SAT,-1606722.11,5767991.24,3343103.23,484.63,-1,10.0.3.24,6857.668560809572
120000,SAT_25,STARLINK-2109,SAT,-1617717.3,6346358.0,2243008.18,546.86,-1,10.0.3.25,6922.74185727232
120000,SAT_26,STARLINK-5799,SAT,-2910171.78,5411301.95,3212231.42,559.7,-1,10.0.3.26,6933.232960085604
120000,SAT_27,STARLINK-32078,SAT,-2823891.31,5423307.36,3087829.04,476.14,-1,10.0.3.27,6849.913359451419
120000,SAT_28,STARLINK-30767,SAT,-1904060.83,5018105.82,4386692.15,562.25,-1,10.0.3.28,6931.803638587131
120000,SAT_29,STARLINK-33674,SAT,-1330367.8,5946990.35,3144698.8,483.91,-1,10.0.3.29,6857.528946274408
120000,SAT_30,STARLINK-1337,SAT,-2850796.58,5747748.15,2398747.09,474.14,-1,10.0.3.30,6849.645066582034
120000,SAT_31,STARLINK-11102 [DTC],SAT,-2685576.51,4758108.37,3934166.71,361.91,-1,10.0.3.31,6732.724868416952
120000,SAT_32,STARLINK-32648,SAT,-1305267.72,5077005.94,4405884.72,478.48,-1,10.0.3.32,6847.73928399722
120000,SAT_33,STARLINK-33907,SAT,-3049871.2,5375612.16,2972406.65,484.04,-1,10.0.3.33,6858.142731402834
120000,SAT_34,STARLINK-3796,SAT,-1158292.66,5335937.96,4238728.35,542.28,-1,10.0.3.34,6912.3580509311405
120000,SAT_35,STARLINK-33699,SAT,-2127041.78,6195528.3,2034525.02,482.92,-1,10.0.3.35,6859.166837668585
120000,SAT_36,STARLINK-34641,SAT,-1747253.4,6462325.12,1871823.8,574.55,-1,10.0.3.36,6951.134061334238
120000,SAT_37,STARLINK-31222,SAT,-2734581.96,4940835.39,3873755.9,476.78,-1,10.0.3.37,6848.049183513412
120000,SAT_38,STARLINK-31825,SAT,-2760386.41,5305083.87,3339329.82,476.4,-1,10.0.3.38,6849.435863411533
120000,SAT_39,STARLINK-1789,SAT,-987157.37,5254863.36,4033547.62,327.22,-1,10.0.3.39,6697.57978737271
120000,SAT_40,STARLINK-30375,SAT,-2883763.41,5060134.9,3760901.08,561.1,-1,10.0.3.40,6932.923881350351
120000,SAT_41,STARLINK-6365,SAT,-1761284.64,6337069.48,2196820.26,558.47,-1,10.0.3.41,6934.449684884437
120000,SAT_42,STARLINK-30999,SAT,-1190983.45,6312615.3,2379688.27,475.04,-1,10.0.3.42,6850.581710069852
120000,SAT_43,STARLINK-35930,SAT,-2719344.81,5095831.49,3696671.14,485.77,-1,10.0.3.43,6857.675428850395
120000,SAT_44,STARLINK-3807,SAT,-2389202.35,4640109.03,4531163.69,542.69,-1,10.0.3.44,6911.6093686714885
120000,SAT_45,STARLINK-4147,SAT,-1054516.38,5721243.44,3734555.07,541.27,-1,10.0.3.45,6913.142040078016
120000,SAT_46,STARLINK-31746,SAT,-3154857.2,5464980.74,2685776.95,483.18,-1,10.0.3.46,6858.02714095782
120000,SAT_47,STARLINK-11420 [DTC],SAT,-1300955.64,5778951.49,3196789.64,357.84,-1,10.0.3.47,6731.138826634938
120000,SAT_48,STARLINK-32631,SAT,-2483479.01,5511516.73,3221439.26,476.58,-1,10.0.3.48,6849.974858643631
120000,SAT_49,STARLINK-11369 [DTC],SAT,-1992432.19,5037134.74,3995650.67,360.52,-1,10.0.3.49,6731.102190379709
120000,SAT_50,STARLINK-30993,SAT,-2378220.1,5145576.51,3990444.21,561.25,-1,10.0.3.50,6932.281980519137
121000,SAT_01,STARLINK-31405,SAT,-2210683.97,5330384.44,3702997.5,484.67,-1,10.0.3.1,6856.552514085729
121000,SAT_02,STARLINK-31055,SAT,-1816391.05,5964969.76,2836539.61,475.81,-1,10.0.3.2,6850.262596669818
121000,SAT_03,STARLINK-11276 [DTC],SAT,-2467593.82,5688160.85,2629672.18,360.07,-1,10.0.3.3,6734.936442925119
121000,SAT_04,STARLINK-11707 [DTC],SAT,-2322180.61,5396198.37,3282402.81,356.43,-1,10.0.3.4,6729.461185039002
121000,SAT_05,STARLINK-35901,SAT,-2526892.0,5602809.37,2955555.66,445.86,-1,10.0.3.5,6819.968128633875
121000,SAT_06,STARLINK-5790,SAT,-2100846.45,5928997.91,2917503.35,559.52,-1,10.0.3.6,6933.8587972732175
121000,SAT_07,STARLINK-3086,SAT,-1643812.27,5236606.42,4260508.94,578.03,-1,10.0.3.7,6948.1006041081255
