time_ms,src,dst,direction,distance_km,delay_ms,jitter_ms,loss_pct,bw_mbps,max_queue_pkt,type,status
549900,SAT_64914,SAT_67347,BIDIR,255.341,0.85,0.085,0.0,100,14,SAT-SAT,UP
549900,SAT_64914,SAT_67325,BIDIR,346.668,1.16,0.116,0.0,100,19,SAT-SAT,UP
549900,SAT_64914,SAT_63704,BIDIR,347.92,1.16,0.116,0.0,100,19,SAT-SAT,UP
549900,SAT_64914,SAT_47733,BIDIR,367.428,1.22,0.122,0.0,100,20,SAT-SAT,UP
549900,SAT_64914,SAT_56556,BIDIR,373.031,1.24,0.124,0.0,100,20,SAT-SAT,UP
549900,SAT_64914,SAT_60442,BIDIR,387.413,1.29,0.129,0.0,100,21,SAT-SAT,UP
549900,SAT_64914,SAT_46681,BIDIR,414.452,1.38,0.138,0.0,100,23,SAT-SAT,UP
549900,SAT_64914,SAT_64130,BIDIR,431.553,1.44,0.144,0.0,100,23,SAT-SAT,UP
549900,SAT_64914,SAT_57932,BIDIR,435.65,1.45,0.145,0.0,100,24,SAT-SAT,UP
549900,SAT_64914,SAT_57928,BIDIR,439.054,1.46,0.146,0.0,100,24,SAT-SAT,UP
549900,SAT_64914,SAT_55451,BIDIR,449.082,1.5,0.15,0.0,100,24,SAT-SAT,UP
549900,SAT_64914,SAT_53994,BIDIR,460.069,1.53,0.153,0.0,100,25,SAT-SAT,UP
549900,SAT_64914,UAV_01,BIDIR,502.893,1.68,0.168,0.0,20,10,SAT-UAV,UP
549900,SAT_64914,UAV_03,BIDIR,502.928,1.68,0.168,0.0,20,10,SAT-UAV,UP
549900,SAT_64914,GS_01,BIDIR,503.035,1.68,0.168,0.0,20,10,SAT-GS,UP
549900,SAT_64914,UAV_02,BIDIR,503.157,1.68,0.168,0.0,20,10,SAT-UAV,UP
549900,SAT_64914,SAT_59307,BIDIR,507.925,1.69,0.169,0.0,100,28,SAT-SAT,UP
549900,SAT_64914,SAT_57923,BIDIR,508.164,1.69,0.169,0.0,100,28,SAT-SAT,UP
