time_ms,req_id,node_id,content_id,file_size_MB,algo,path,server_node,latency_ms,throughput_mbps,http_code,cache_status,download_time
0,1,GS_01,telemetry_UAV_09,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_09']",UAV_09,5.465638386421533,20.0,200,HIT,45.46563838642153
100,2,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.261624812405433,20.0,200,HIT,45.26162481240543
100,3,UAV_01,fuel_status_UAV_05,0.1,Optimized,"['UAV_01', 'UAV_05']",UAV_05,0.009861691045769876,10.0,200,HIT,80.00986169104577
100,4,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.473761593346493,20.0,200,HIT,2005.4737615933466
100,5,GS_01,low_res_img_UAV_10,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_10']",UAV_10,5.576229170909263,20.0,200,HIT,2005.5762291709093
100,6,GS_01,telemetry_UAV_10,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_10']",UAV_10,5.344781512655784,20.0,200,HIT,45.344781512655786
100,7,GS_01,telemetry_UAV_03,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_03']",UAV_03,5.553811462490657,20.0,200,HIT,45.55381146249066
100,8,GS_01,low_res_img_UAV_08,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_08']",UAV_08,5.426786839165912,20.0,200,HIT,2005.426786839166
100,9,GS_01,low_res_img_UAV_06,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_06']",UAV_06,5.617479019887876,20.0,200,HIT,2005.617479019888
100,10,GS_01,telemetry_UAV_07,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_07']",UAV_07,5.661928190921154,20.0,200,HIT,45.66192819092115
100,11,GS_01,low_res_img_UAV_09,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_09']",UAV_09,5.289478133036158,20.0,200,HIT,2005.2894781330363
100,12,GS_01,telemetry_UAV_04,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_04']",UAV_04,5.476920698230471,20.0,200,HIT,45.47692069823047
100,13,GS_01,telemetry_UAV_08,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_08']",UAV_08,5.629459819718775,20.0,200,HIT,45.629459819718775
100,14,GS_01,telemetry_UAV_02,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_02']",UAV_02,5.050489534432439,20.0,200,HIT,45.05048953443244
100,15,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.246386442712369,20.0,200,HIT,45.24638644271237
100,16,GS_01,telemetry_UAV_06,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_06']",UAV_06,5.582819152777047,20.0,200,HIT,45.58281915277705
100,17,GS_01,low_res_img_UAV_07,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_07']",UAV_07,5.48560064943255,20.0,200,HIT,2005.4856006494326
100,18,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.525359869283113,20.0,200,HIT,2005.5253598692832
100,19,GS_01,low_res_img_UAV_03,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_03']",UAV_03,5.192321846552381,20.0,200,HIT,2005.1923218465524
100,20,GS_01,low_res_img_UAV_04,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_04']",UAV_04,5.419759008176987,20.0,200,HIT,2005.419759008177
100,21,GS_01,low_res_img_UAV_02,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_02']",UAV_02,5.148802283376625,20.0,200,HIT,2005.1488022833767
1000,22,GS_01,telemetry_UAV_07,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_07']",UAV_07,5.396171609871928,20.0,200,HIT,45.39617160987193
1100,23,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.843786441261921,20.0,200,HIT,45.84378644126192
1100,24,GS_01,telemetry_UAV_04,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_04']",UAV_04,5.7888810359679415,20.0,200,HIT,45.78888103596794
1100,25,GS_01,telemetry_UAV_09,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_09']",UAV_09,5.328023530626483,20.0,200,HIT,45.32802353062648
1100,26,GS_01,telemetry_UAV_06,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_06']",UAV_06,5.218926311022958,20.0,200,HIT,45.218926311022955
1100,27,GS_01,telemetry_UAV_08,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_08']",UAV_08,5.5373634775434155,20.0,200,HIT,45.537363477543416
1100,28,GS_01,telemetry_UAV_02,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_02']",UAV_02,5.29899604139505,20.0,200,HIT,45.29899604139505
1100,29,GS_01,telemetry_UAV_03,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_03']",UAV_03,5.363227439278776,20.0,200,HIT,45.36322743927877
1100,30,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.5192872617575635,20.0,200,HIT,45.51928726175756
1100,31,GS_01,telemetry_UAV_10,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_10']",UAV_10,5.489988812618092,20.0,200,HIT,45.489988812618094
2100,32,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.470188274258172,20.0,200,HIT,45.47018827425817
2100,33,GS_01,low_res_img_UAV_07,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_07']",UAV_07,5.515358832319858,20.0,200,HIT,2005.5153588323199
2100,34,GS_01,telemetry_UAV_09,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_09']",UAV_09,5.636387732965023,20.0,200,HIT,45.63638773296502
2100,35,GS_01,telemetry_UAV_03,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_03']",UAV_03,5.897932550637112,20.0,200,HIT,45.89793255063711
2100,36,GS_01,telemetry_UAV_07,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_07']",UAV_07,5.299147200206081,20.0,200,HIT,45.29914720020608
2100,37,GS_01,low_res_img_UAV_09,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_09']",UAV_09,5.3659460772042635,20.0,200,HIT,2005.3659460772042
