time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
300000,SAT_62474,STARLINK-11502 [DTC],SAT,-1605614.15,5585758.65,3391799.6,356.58,-1,10.0.3.254,62474,412.07,6729.2645230582375
300000,SAT_58748,STARLINK-31165,SAT,-1379624.76,5842038.9,3347698.74,500.08,-1,10.0.3.98,58748,511.12,6873.126642316135
300000,SAT_60445,STARLINK-32228,SAT,-1679620.34,5661237.3,3469728.27,476.44,-1,10.0.3.10,60445,542.79,6849.06902586696
300000,SAT_57931,STARLINK-30488,SAT,-1550314.07,5744660.16,3557145.87,559.89,-1,10.0.3.46,57931,582.48,6932.379159422056
300000,SAT_60935,STARLINK-11253 [DTC],SAT,-1135697.87,5904366.78,3032571.38,360.3,-1,10.0.3.245,60935,592.71,6734.080924631454
300000,SAT_64911,STARLINK-34718,SAT,-1452088.81,5955075.23,3057409.51,475.9,-1,10.0.3.141,64911,612.21,6849.76173446385
300000,SAT_64928,STARLINK-34248,SAT,-1819537.69,5612661.04,3478642.99,476.75,-1,10.0.3.158,64928,623.59,6849.353137862039
300000,SAT_53996,STARLINK-5131,SAT,-1733437.69,5891577.54,3176150.45,540.39,-1,10.0.3.191,53996,659.3,6914.002011569001
300000,SAT_59943,STARLINK-31973,SAT,-1527463.66,5977867.18,2992472.72,483.28,-1,10.0.3.18,59943,666.42,6857.327047347672
300000,SAT_57671,STARLINK-30296,SAT,-1149233.9,6014723.41,3069434.25,475.92,-1,10.0.3.41,57671,684.52,6849.749110061208
300000,SAT_44768,STARLINK-1063,SAT,-1905520.12,5575464.62,3494986.62,478.12,-1,10.0.3.143,44768,687.32,6850.674720826817
300000,SAT_57925,STARLINK-30452,SAT,-1074678.29,5997047.88,3251410.99,532.5,-1,10.0.3.40,57925,689.79,6905.880836497441
300000,SAT_49449,STARLINK-3137,SAT,-1007084.92,6002689.86,3071225.17,443.76,-1,10.0.3.234,49449,725.55,6817.545719412505
300000,SAT_49444,STARLINK-3126,SAT,-1424287.99,6064791.36,2999754.26,540.29,-1,10.0.3.229,49444,726.1,6914.391957300153
300000,SAT_66404,STARLINK-35691,SAT,-1175627.2,5528146.28,3867050.33,476.81,-1,10.0.3.104,66404,733.52,6848.107684697342
300000,SAT_62898,STARLINK-32902,SAT,-971212.84,6003474.04,3168258.69,483.76,-1,10.0.3.168,62898,736.58,6857.318576258165
300000,SAT_66345,STARLINK-35440,SAT,-1344299.54,6056721.36,2918311.83,481.96,-1,10.0.3.45,66345,736.86,6856.205862067038
300000,SAT_67499,STARLINK-36558,SAT,-1149648.89,5548290.79,3859121.77,484.17,-1,10.0.3.179,67499,736.99,6855.5119499833845
300000,SAT_55287,STARLINK-5341,SAT,-1256237.43,6099146.82,3085771.95,575.89,-1,10.0.3.207,55287,744.05,6949.799489183549
300000,SAT_54080,STARLINK-5160,SAT,-932035.26,5981949.79,3339289.97,540.86,-1,10.0.3.20,54080,757.75,6913.990925630935
300000,SAT_55636,STARLINK-5218,SAT,-1101699.74,6085283.37,3170540.36,575.92,-1,10.0.3.46,55636,758.44,6949.585756338543
300000,SAT_55455,STARLINK-5680,SAT,-1015677.3,6069767.71,3192869.62,559.53,-1,10.0.3.120,55455,775.61,6933.115954707008
300000,SAT_48386,STARLINK-2606,SAT,-1941977.38,5473093.75,3666837.06,496.15,-1,10.0.3.191,48386,789.59,6868.167540567875
300000,SAT_48370,STARLINK-2621,SAT,-1441413.59,6079654.81,2806146.51,474.87,-1,10.0.3.175,48370,809.43,6849.403914340138
300000,SAT_56557,STARLINK-6265,SAT,-1996543.79,5834083.48,3140138.09,546.05,-1,10.0.3.202,56557,809.84,6919.76765370524
301000,SAT_62474,STARLINK-11502 [DTC],SAT,-1612043.28,5586058.74,3388262.9,356.57,-1,10.0.3.254,62474,412.07,6729.26899914396
301000,SAT_58748,STARLINK-31165,SAT,-1385873.96,5842648.4,3344062.32,500.07,-1,10.0.3.98,58748,511.12,6873.131728627964
301000,SAT_60445,STARLINK-32228,SAT,-1685086.56,5662517.53,3465001.4,476.43,-1,10.0.3.10,60445,542.79,6849.077032290694
301000,SAT_57931,STARLINK-30488,SAT,-1555602.78,5741114.7,3560550.0,559.9,-1,10.0.3.46,57931,582.48,6932.37436310243
301000,SAT_60935,STARLINK-11253 [DTC],SAT,-1139855.37,5900940.05,3037658.58,360.3,-1,10.0.3.245,60935,592.71,6734.072570655848
301000,SAT_64911,STARLINK-34718,SAT,-1456019.89,5951502.35,3062474.25,475.91,-1,10.0.3.141,64911,612.21,6849.753475421155
301000,SAT_64928,STARLINK-34248,SAT,-1823319.61,5608498.33,3483357.24,476.76,-1,10.0.3.158,64928,623.59,6849.34490146932
301000,SAT_53996,STARLINK-5131,SAT,-1738648.56,5892735.45,3171168.1,540.39,-1,10.0.3.191,53996,659.3,6914.010197948393
