time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
180000,SAT_47643,STARLINK-2022,SAT,-1300912.72,5559468.74,3454683.48,301.06,-1,10.0.3.213,47643,346.53,6673.447723859077
180000,SAT_67324,STARLINK-36471,SAT,-1591454.11,5667547.12,3514636.54,483.63,-1,10.0.3.4,67324,524.15,6856.1276643568535
180000,SAT_66408,STARLINK-35679,SAT,-1581306.47,5607539.96,3599982.08,476.51,-1,10.0.3.108,66408,550.37,6848.715611805018
180000,SAT_59304,STARLINK-31474,SAT,-1730563.15,5699506.5,3397492.57,484.4,-1,10.0.3.144,59304,564.14,6857.2719738162195
181000,SAT_47643,STARLINK-2022,SAT,-1305149.69,5555541.95,3459379.79,301.07,-1,10.0.3.213,47643,346.53,6673.43769004981
181000,SAT_67324,STARLINK-36471,SAT,-1596741.23,5663927.23,3518062.66,483.64,-1,10.0.3.4,67324,524.15,6856.1227455467615
181000,SAT_66408,STARLINK-35679,SAT,-1586847.93,5608937.58,3595378.19,476.5,-1,10.0.3.108,66408,550.37,6848.723345150483
181000,SAT_59304,STARLINK-31474,SAT,-1736884.93,5699718.98,3393918.18,484.4,-1,10.0.3.144,59304,564.14,6857.276888355017
182000,SAT_47643,STARLINK-2022,SAT,-1309385.5,5551608.37,3464071.46,301.07,-1,10.0.3.213,47643,346.53,6673.427677097493
182000,SAT_67324,STARLINK-36471,SAT,-1602026.91,5660301.14,3521484.42,483.64,-1,10.0.3.4,67324,524.15,6856.117832720802
182000,SAT_66408,STARLINK-35679,SAT,-1592387.23,5610329.08,3590769.82,476.49,-1,10.0.3.108,66408,550.37,6848.731077826283
182000,SAT_59304,STARLINK-31474,SAT,-1743204.55,5699925.36,3390339.59,484.39,-1,10.0.3.144,59304,564.14,6857.2818046390075
183000,SAT_47643,STARLINK-2022,SAT,-1313620.13,5547667.99,3468758.46,301.08,-1,10.0.3.213,47643,346.53,6673.417657170382
183000,SAT_67324,STARLINK-36471,SAT,-1607311.15,5656668.85,3524901.81,483.65,-1,10.0.3.4,67324,524.15,6856.112920716513
183000,SAT_66408,STARLINK-35679,SAT,-1597924.36,5611714.46,3586156.99,476.48,-1,10.0.3.108,66408,550.37,6848.738818043827
183000,SAT_59304,STARLINK-31474,SAT,-1749522.0,5700125.65,3386756.79,484.38,-1,10.0.3.144,59304,564.14,6857.286723543287
184000,SAT_47643,STARLINK-2022,SAT,-1317853.58,5543720.83,3473440.8,301.08,-1,10.0.3.213,47643,346.53,6673.407652046993
184000,SAT_67324,STARLINK-36471,SAT,-1612593.94,5653030.37,3528314.84,483.65,-1,10.0.3.4,67324,524.15,6856.108020563218
184000,SAT_66408,STARLINK-35679,SAT,-1603459.32,5613093.71,3581539.7,476.48,-1,10.0.3.108,66408,550.37,6848.7465576419545
184000,SAT_59304,STARLINK-31474,SAT,-1755837.26,5700319.84,3383169.8,484.38,-1,10.0.3.144,59304,564.14,6857.291641569138
185000,SAT_47643,STARLINK-2022,SAT,-1322085.85,5539766.88,3478118.48,301.09,-1,10.0.3.213,47643,346.53,6673.3976534021
185000,SAT_67324,STARLINK-36471,SAT,-1617875.28,5649385.7,3531723.49,483.66,-1,10.0.3.4,67324,524.15,6856.103121950351
185000,SAT_66408,STARLINK-35679,SAT,-1608992.09,5614466.85,3576917.96,476.47,-1,10.0.3.108,66408,550.37,6848.754313596163
185000,SAT_59304,STARLINK-31474,SAT,-1762150.33,5700507.94,3379578.61,484.37,-1,10.0.3.144,59304,564.14,6857.2965621075255
186000,SAT_47643,STARLINK-2022,SAT,-1326316.93,5535806.15,3482791.47,301.1,-1,10.0.3.213,47643,346.53,6673.387651911675
186000,SAT_67324,STARLINK-36471,SAT,-1623155.16,5645734.85,3535127.76,483.67,-1,10.0.3.4,67324,524.15,6856.098230733116
186000,SAT_66408,STARLINK-35679,SAT,-1614522.68,5615833.85,3572291.77,476.46,-1,10.0.3.108,66408,550.37,6848.762063690776
186000,SAT_59304,STARLINK-31474,SAT,-1768461.21,5700689.95,3375983.24,484.37,-1,10.0.3.144,59304,564.14,6857.301495053763
187000,SAT_47643,STARLINK-2022,SAT,-1330546.82,5531838.64,3487459.79,301.1,-1,10.0.3.213,47643,346.53,6673.3776579836995
187000,SAT_67324,STARLINK-36471,SAT,-1628433.57,5642077.82,3538527.64,483.67,-1,10.0.3.4,67324,524.15,6856.093339350251
187000,SAT_66408,STARLINK-35679,SAT,-1620051.08,5617194.73,3567661.13,476.46,-1,10.0.3.108,66408,550.37,6848.769822023647
