time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
420000,GS_01,CLIENT,GS,-1335860.7,5365682.5,3169285.4,10.0.0.1,-1.0,-1.0
420000,UAV_01,RELAY,UAV,-1337774.5,5364374.1,3170682.3,10.0.0.2,349.0,58.0
420000,UAV_02,RELAY,UAV,-1337525.6,5364237.3,3171016.6,10.0.0.3,279.9,58.0
420000,UAV_03,RELAY,UAV,-1337507.4,5364178.4,3171123.1,10.0.0.4,277.5,58.0
420000,UAV_04,RELAY,UAV,-1337410.9,5364831.4,3170066.2,10.0.0.5,106.3,58.0
420000,UAV_05,RELAY,UAV,-1338047.3,5364644.7,3170113.3,10.0.0.6,52.0,58.0
420000,UAV_06,RELAY,UAV,-1337804.2,5364819.6,3169921.2,10.0.0.7,76.2,58.0
420000,UAV_07,RELAY,UAV,-1336715.0,5364826.0,3170366.8,10.0.0.8,160.8,58.0
420000,UAV_08,RELAY,UAV,-1337746.6,5363943.7,3171417.3,10.0.0.9,292.2,58.0
420000,UAV_09,RELAY,UAV,-1337474.4,5365009.8,3169739.7,10.0.0.10,99.4,58.0
420000,UAV_10,RELAY,UAV,-1337903.0,5363876.5,3171464.7,10.0.0.11,298.2,58.0
420000,UAV_11,CACHE,UAV,-1336476.3,5364894.8,3170351.2,10.0.0.12,164.5,58.0
420000,UAV_12,RELAY,UAV,-1338347.0,5364754.3,3169803.5,10.0.0.13,52.8,58.0
420000,UAV_13,RELAY,UAV,-1338352.7,5363847.4,3171325.3,10.0.0.14,320.4,58.0
420000,UAV_14,RELAY,UAV,-1336849.6,5364023.0,3171660.0,10.0.0.15,245.8,58.0
420000,UAV_15,RELAY,UAV,-1336190.0,5364715.5,3170772.5,10.0.0.16,187.7,58.0
420000,UAV_16,RELAY,UAV,-1336541.1,5365153.5,3169889.2,10.0.0.17,142.1,58.0
420000,UAV_17,RELAY,UAV,-1337187.1,5365249.2,3169457.8,10.0.0.18,110.1,58.0
420000,UAV_18,RELAY,UAV,-1337689.2,5365192.9,3169342.1,10.0.0.19,90.6,58.0
420000,UAV_19,RELAY,UAV,-1337941.1,5365140.5,3169324.5,10.0.0.20,80.7,58.0
420000,UAV_20,RELAY,UAV,-1337950.1,5365159.0,3169289.6,10.0.0.21,80.4,58.0
420000,UAV_21,CACHE,UAV,-1337716.3,5365248.6,3169237.1,10.0.0.22,89.7,58.0
420000,UAV_22,RELAY,UAV,-1337230.9,5365351.5,3169267.5,10.0.0.23,107.3,58.0
420000,UAV_23,RELAY,UAV,-1336558.5,5365348.0,3169555.2,10.0.0.24,133.1,58.0
420000,UAV_24,RELAY,UAV,-1335952.9,5365086.2,3170248.9,10.0.0.25,165.8,58.0
420000,UAV_25,RELAY,UAV,-1335877.6,5364500.4,3171264.9,10.0.0.26,205.4,58.0
420000,UAV_26,RELAY,UAV,-1336735.1,5363794.6,3172091.9,10.0.0.27,250.5,58.0
420000,UAV_27,RELAY,UAV,-1338285.3,5363488.0,3171957.5,10.0.0.28,302.5,58.0
420000,UAV_28,RELAY,UAV,-1339318.6,5364029.7,3170614.1,10.0.0.29,1.3,58.0
420000,UAV_29,RELAY,UAV,-1338532.4,5365091.3,3169159.5,10.0.0.30,64.3,58.0
420000,UAV_30,RELAY,UAV,-1336436.6,5365477.2,3169389.0,10.0.0.31,132.7,58.0
420000,UAV_31,RELAY,UAV,-1335693.6,5364496.2,3171349.1,10.0.0.32,205.3,58.0
420000,UAV_32,RELAY,UAV,-1337712.7,5363423.1,3172306.5,10.0.0.33,283.4,58.0
420000,UAV_33,RELAY,UAV,-1339487.1,5364074.6,3170468.0,10.0.0.34,5.6,58.0
420000,UAV_34,RELAY,UAV,-1337700.8,5365480.9,3168853.1,10.0.0.35,92.0,58.0
420000,UAV_35,RELAY,UAV,-1335485.5,5364935.0,3170698.8,10.0.0.36,182.4,58.0
420000,UAV_36,RELAY,UAV,-1337495.3,5363395.4,3172444.0,10.0.0.37,277.0,58.0
420000,UAV_37,RELAY,UAV,-1339587.4,5364234.0,3170158.2,10.0.0.38,14.4,58.0
420000,UAV_38,RELAY,UAV,-1336815.1,5365647.5,3168944.2,10.0.0.39,115.8,58.0
420000,UAV_39,RELAY,UAV,-1335736.4,5364166.2,3171885.7,10.0.0.40,221.4,58.0
420000,UAV_40,RELAY,UAV,-1339241.1,5363461.2,3171602.0,10.0.0.41,329.8,58.0
420000,UAV_41,RELAY,UAV,-1338119.7,5365467.8,3168699.6,10.0.0.42,80.9,58.0
420000,UAV_42,RELAY,UAV,-1335306.7,5364704.8,3171160.6,10.0.0.43,196.1,58.0
420000,UAV_43,RELAY,UAV,-1338838.7,5363271.8,3172089.0,10.0.0.44,312.7,58.0
420000,UAV_44,RELAY,UAV,-1338433.8,5365394.9,3168690.5,10.0.0.45,73.4,58.0
420000,UAV_45,RELAY,UAV,-1335232.9,5364697.9,3171203.2,10.0.0.46,196.9,58.0
420000,UAV_46,RELAY,UAV,-1339160.1,5363302.3,3171903.1,10.0.0.47,321.7,58.0
420000,UAV_47,RELAY,UAV,-1337799.2,5365644.4,3168537.1,10.0.0.48,90.7,58.0
