time_ms,node_id,content_id,file_size_MB,path,server_node,latency_ms,throughput_mbps,http_code,cache_status,download_time
100,GS_01,low_res_img_UAV_05,5.0,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,2005.462
100,UAV_01,fuel_status_UAV_05,0.1,UAV_01 -> UAV_05,UAV_05,0.014,10.0,200,HIT,80.014
100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
100,GS_01,low_res_img_UAV_01,5.0,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,2005.468
1100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
1100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
2100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
2100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
2100,GS_01,low_res_img_UAV_01,5.0,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,2005.468
2100,GS_01,low_res_img_UAV_05,5.0,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,2005.462
3000,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
3100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
4100,GS_01,low_res_img_UAV_01,5.0,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,2005.468
4100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
4100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
4100,GS_01,low_res_img_UAV_05,5.0,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,2005.462
5100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
5100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
6100,GS_01,low_res_img_UAV_05,5.0,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,2005.462
6100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
6100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
6100,GS_01,low_res_img_UAV_01,5.0,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,2005.468
7100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
7100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
8100,GS_01,low_res_img_UAV_01,5.0,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,2005.468
8100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
8100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
8100,GS_01,low_res_img_UAV_05,5.0,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,2005.462
9100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.468,20.0,200,HIT,45.468
9100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.462,20.0,200,HIT,45.462
10000,GS_01,low_res_img_UAV_05,5.0,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.854,20.0,200,HIT,2005.854
10100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.86,20.0,200,HIT,45.86
10100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.854,20.0,200,HIT,45.854
10100,GS_01,low_res_img_UAV_01,5.0,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.86,20.0,200,HIT,2005.86
11100,GS_01,telemetry_UAV_05,0.1,GS_01 -> SAT_63188 -> UAV_05,UAV_05,5.854,20.0,200,HIT,45.854
11100,GS_01,telemetry_UAV_01,0.1,GS_01 -> SAT_63188 -> UAV_01,UAV_01,5.86,20.0,200,HIT,45.86
