time_ms,req_id,node_id,content_id,file_size_MB,algo,path,server_node,latency_ms,throughput_mbps,http_code,cache_status,download_time
100,1,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.760611118218607,20.0,200,HIT,45.760611118218605
100,2,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.229618516709586,20.0,200,HIT,45.229618516709586
100,3,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.711473771926444,20.0,200,HIT,2005.7114737719264
100,4,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.592191011676859,20.0,200,HIT,2005.592191011677
1100,5,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.517583773861249,20.0,200,HIT,45.51758377386125
1100,6,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.161073047183605,20.0,200,HIT,45.161073047183606
1600,7,UAV_01,status_update_UAV_05,0.2,Optimized,"['UAV_01', 'UAV_05']",UAV_05,0.013951447450034234,10.0,200,HIT,160.01395144745004
2100,8,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.145770226430113,20.0,200,HIT,2005.1457702264302
2100,9,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.220414024942704,20.0,200,HIT,45.220414024942706
2100,10,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.599438376500249,20.0,200,HIT,45.599438376500245
2100,11,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.169494759843559,20.0,200,HIT,2005.1694947598435
3100,12,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.569292024411112,20.0,200,HIT,45.56929202441111
3100,13,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.202418278622478,20.0,200,HIT,45.202418278622474
4100,14,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.731029516274145,20.0,200,HIT,45.73102951627415
4100,15,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.76937910957712,20.0,200,HIT,45.769379109577116
4100,16,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.186159453678249,20.0,200,HIT,2005.1861594536783
4100,17,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.389916898256928,20.0,200,HIT,2005.3899168982568
5100,18,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.505997052105544,20.0,200,HIT,45.50599705210554
5100,19,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.256935018073117,20.0,200,HIT,45.256935018073115
6100,20,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.549118554639991,20.0,200,HIT,45.54911855463999
6100,21,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.783948135282728,20.0,200,HIT,2005.7839481352828
6100,22,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.50310739776053,20.0,200,HIT,45.50310739776053
6100,23,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.373152239980426,20.0,200,HIT,2005.3731522399805
7100,24,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.6688646671051846,20.0,200,HIT,45.66886466710518
7100,25,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.450999332035218,20.0,200,HIT,45.45099933203522
8100,26,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.677012702068369,20.0,200,HIT,45.67701270206837
8100,27,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.347223641256811,20.0,200,HIT,45.34722364125681
8100,28,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.642493199142692,20.0,200,HIT,2005.6424931991428
8100,29,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.236402784591786,20.0,200,HIT,2005.2364027845917
9100,30,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.187350184871003,20.0,200,HIT,45.187350184871
9100,31,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.000268968290257,20.0,200,HIT,45.00026896829026
10100,32,UAV_01,fuel_status_UAV_05,0.1,Optimized,"['UAV_01', 'UAV_05']",UAV_05,0.012445068063438662,10.0,200,HIT,80.01244506806344
10100,33,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,6.204450443122134,20.0,200,HIT,46.204450443122134
10100,34,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.839009941481521,20.0,200,HIT,2005.8390099414814
10100,35,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,6.259480469767844,20.0,200,HIT,46.259480469767844
10100,36,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.832981541475632,20.0,200,HIT,2005.8329815414756
11100,37,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.918928236771277,20.0,200,HIT,45.91892823677128
11100,38,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.508909510278805,20.0,200,HIT,45.508909510278805
12100,39,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,6.278586982885673,20.0,200,HIT,46.27858698288567
12100,40,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.841298867005191,20.0,200,HIT,45.84129886700519
12100,41,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,6.264580099709246,20.0,200,HIT,2006.2645800997093
12100,42,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.86984727912261,20.0,200,HIT,2005.8698472791227
13100,43,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.64464344730669,20.0,200,HIT,45.64464344730669
13100,44,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.432278077085019,20.0,200,HIT,45.432278077085016
14100,45,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.853338131010836,20.0,200,HIT,45.85333813101084
14100,46,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.899928061017622,20.0,200,HIT,45.89992806101762
14100,47,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.941385728987315,20.0,200,HIT,2005.9413857289874
14100,48,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.6591941236027425,20.0,200,HIT,2005.6591941236027
15100,49,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.615639919901563,20.0,200,HIT,45.61563991990156
15100,50,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.648018543576553,20.0,200,HIT,45.648018543576555
16100,51,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.795738614828277,20.0,200,HIT,2005.7957386148282
16100,52,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.84048035784498,20.0,200,HIT,45.84048035784498
16100,53,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.660715941920877,20.0,200,HIT,45.66071594192088
16100,54,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,6.366186330124665,20.0,200,HIT,2006.3661863301247
17100,55,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.628892942685491,20.0,200,HIT,45.62889294268549
17100,56,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.991453426879328,20.0,200,HIT,45.99145342687933
18100,57,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.533423682663375,20.0,200,HIT,2005.5334236826634
18100,58,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.642273892627281,20.0,200,HIT,45.64227389262728
18100,59,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.773257253277228,20.0,200,HIT,45.77325725327723
18100,60,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.517039416245753,20.0,200,HIT,2005.5170394162458
19100,61,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.8463629636843635,20.0,200,HIT,45.84636296368436
19100,62,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.452721972999505,20.0,200,HIT,45.452721972999505
20000,63,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,6.149346769811489,20.0,200,HIT,46.14934676981149
20100,64,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,6.092322769098166,20.0,200,HIT,46.09232276909817
20100,65,GS_01,low_res_img_UAV_05,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,6.302188621151833,20.0,200,HIT,2006.3021886211518
20100,66,GS_01,low_res_img_UAV_01,5.0,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,6.285088433874758,20.0,200,HIT,2006.2850884338748
21100,67,GS_01,telemetry_UAV_01,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_01']",UAV_01,5.819353564637723,20.0,200,HIT,45.81935356463772
21100,68,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,6.040457096481489,20.0,200,HIT,46.04045709648149
21100,69,UAV_01,target_location_update,0.3,Optimized,"['UAV_01', 'SAT_63188', 'GS_01']",GS_01,6.304434990020209,20.0,200,HIT,126.30443499002021
21100,70,UAV_05,target_location_update,0.3,Optimized,"['UAV_05', 'SAT_63188', 'GS_01']",GS_01,6.50374029553125,20.0,200,HIT,126.50374029553124
22100,71,GS_01,telemetry_UAV_05,0.1,Optimized,"['GS_01', 'SAT_63188', 'UAV_05']",UAV_05,5.889180979103232,20.0,200,HIT,45.88918097910323
